,WT_a,WT_b,null_a,null_b,R61K_a,R61K_b,R61H_a,R61H_b,F71Y_a,F71Y_b,Start,End,Strand,Reference,Locus,Gene,Product,Note
BSU11370_appF,112,76,1898,1983,1082,1205,1552,2402,485,599,1212460,1213449,+,chr,BSU11370,appF,oligopeptide ABC transporter ATP-binding protein,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 7997159; Product type t : transporter
BSU11381_appA,108,174,2426,5100,1250,2807,1958,5899,1116,1155,1213537,1214001,+,chr,BSU11381,appA,,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15588833; Product type prc : receptor"
BSU11382_appA,280,332,5773,10573,3102,5308,4675,10941,2050,2516,1214001,1215167,+,chr,BSU11382,appA,,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 15588833, 7997159; Product type lp : lipoprotein"
BSU11390_appB,114,96,1962,2409,1180,1352,1659,2661,543,608,1215243,1216193,+,chr,BSU11390,appB,oligopeptide ABC transporter permease,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15849754, 16850406, 7997159; Product type t: transporter"
BSU11400_appC,114,77,1743,2099,947,1205,1407,2509,445,511,1216210,1217121,+,chr,BSU11400,appC,oligopeptide ABC transporter permease,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15849754, 16850406, 7997159; Product type t: transporter"
BSU11410_yjbA,56,41,165,283,159,196,206,399,103,131,1217326,1218078,+,chr,BSU11410,yjbA,nucleic acid binding protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pf:  factor"
BSU11420_trpS,2893,3315,2306,2632,1840,2763,1965,2885,2713,2599,1218113,1219105,-,chr,BSU11420,trpS,tryptophanyl-tRNA synthetase,"catalyzes a two-step reaction, first charging a tryptophan molecule by linking its carboxyl group to the alpha-phosphate of ATP, followed by transfer of the aminoacyl-adenylate to its tRNA"
BSU11430_oppA,8672,12949,3911,6522,8928,15543,5792,11686,15612,19742,1219849,1221486,+,chr,BSU11430,oppA,oligopeptide ABC transporter binding lipoprotein,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11083832, 11401703, 12823818, 1901616; Product type lp: lipoprotein"
BSU11440_oppB,1899,1088,897,628,1859,1511,1210,1055,1246,1761,1221594,1222529,+,chr,BSU11440,oppB,oligopeptide ABC transporter permease,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11401703, 15849754, 16850406, 1901616; Product type t: transporter"
BSU11450_oppC,1989,1225,916,728,2127,1552,1355,1223,1418,1913,1222533,1223450,+,chr,BSU11450,oppC,oligopeptide ABC transporter permease,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11401703, 15849754, 16850406, 1901616; Product type t: transporter"
BSU11460_oppD,2685,3264,1207,1649,2885,3779,1846,2990,3492,4885,1223455,1224531,+,chr,BSU11460,oppD,oligopeptide ABC transporter ATP-binding protein,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11401703, 1901616; Product type t: transporter"
BSU11470_oppF,2370,2799,1128,1524,2552,3471,1517,2809,3350,4129,1224533,1225450,+,chr,BSU11470,oppF,oligopeptide ABC transporter ATP-binding protein,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11401703, 1901616; Product type t: transporter"
BSU11480_yjbB,141,89,100,75,99,107,90,97,83,97,1225557,1226774,+,chr,BSU11480,yjbB,exporter,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pt: transporter"
BSU11490_yjbC,2190,5822,1977,4489,1767,5078,1650,4608,4300,5563,1226938,1227516,+,chr,BSU11490,yjbC,thiol oxidation management factor; acetyltransferase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 17158660, 17158663; Product type pe: enzyme"
BSU11500_spxA,4372,5987,4344,4986,3679,6289,3838,6226,6554,6419,1227697,1228092,+,chr,BSU11500,spxA,transcriptional regulator Spx,the anti-alpha factor Spx interacts with RNA polymerase alpha subunit C-terminal domain in a region that interacts with the sigma 70 subunit and may interfere with activation of promoters; in Bacillus subtilis this protein is a substrate for ClpXP protease; blocks transcription of the competence regulatory gene encoded by the srf operon; regulates a number of genes involved in thiol homeostasis including trxA and trxB; monomeric member of ArsC family of proteins; does not bind DNA; contains a disulfide bond between C10 and C13 which may sense disulfide stress
BSU11510_yjbE,305,211,243,155,325,228,242,220,175,273,1228135,1228791,-,chr,BSU11510,yjbE,transporter component,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pt: transporter"
BSU11520_mecA,2357,5516,2603,5449,2055,6018,2224,6195,5629,5312,1229068,1229724,+,chr,BSU11520,mecA,adaptor protein,"enables recognition and targeting of proteins for proteolysis, involved in negative regulation of competence"
BSU11530_coiA,184,176,172,132,152,139,137,144,106,136,1229915,1231036,+,chr,BSU11530,coiA,DNA transport protein,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 17630974; Product type s: structure
BSU11540_pepF,4994,6355,4615,6342,3639,6240,4195,6990,5317,6377,1231083,1233095,+,chr,BSU11540,pepF,oligoendopeptidase F,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11741842; Product type e: enzyme
BSU11549_yizD,22,26,23,17,13,37,21,31,34,30,1233133,1233300,-,chr,BSU11549,yizD,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
BSU11550_yjbH,1879,2077,1673,1844,1572,2091,1658,1950,1797,2049,1233614,1234513,-,chr,BSU11550,yjbH,thiol management oxidoreductase component,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 17293416, 17908206; Product type pe: enzyme"
BSU11560_yjbI,1183,1294,1189,1193,1022,1334,1091,1328,1189,1286,1234510,1234908,-,chr,BSU11560,yjbI,thiol management oxidoreductase component,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15866723, 17293416; Product type pe: enzyme"
BSU11570_yjbJ,286,279,335,290,282,302,244,350,250,256,1235163,1235708,-,chr,BSU11570,yjbJ,murein lytic transglycosylase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
BSU11580_yjbK,275,420,274,439,231,447,249,397,324,460,1235912,1236484,-,chr,BSU11580,yjbK,RNA/thiamine triphosphatase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 12456267, 16905149, 9642185; Product type pe:  enzyme"
BSU11590_yjbL,707,1571,518,1247,542,1551,470,1506,1354,1698,1236609,1236977,+,chr,BSU11590,yjbL,phosphatase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
BSU11600_yjbM,1311,1820,971,1397,1049,1764,886,1756,1688,2001,1237006,1237641,+,chr,BSU11600,yjbM,(p)ppGpp synthetase,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 18067544; Product type e: enzyme
BSU11610_ppnK,1540,1720,1267,1404,1164,1559,1099,1458,1419,1767,1237660,1238460,+,chr,BSU11610,ppnK,inorganic polyphosphate/ATP-NAD kinase,catalyzes the phosphorylation of NAD to NADP
BSU11620_yjbO,2049,1436,1766,1252,1689,1422,1591,1388,1451,1474,1238523,1239374,+,chr,BSU11620,yjbO,pseudouridylate synthase,Evidence 2b: Function of strongly homologous gene; Product type e: enzyme
BSU11630_yjbP,128,131,130,147,111,100,95,154,112,134,1239387,1240121,-,chr,BSU11630,yjbP,bis(5'-nucleosyl)-tetraphosphatase,"asymmetrical; catalyzes the formation of NTP and NMP from P(1),P(4)-bis(5'-nucleosyl) tetraphosphate; acts on bis(5'-guanosyl) tetraphosphate, bis(5'-xanthosyl)-tetraphosphate, on bis(5'-adenosyl)-tetraphosphate, and bis(5'-uridyl)-tetraphosphate"
BSU11640_yjbQ,1629,2095,1436,1667,1525,2072,1702,2078,1666,2270,1240356,1242200,+,chr,BSU11640,yjbQ,Na+/H+ antiporter,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pt: transporter"
BSU11650_tenA,14698,14710,11961,11976,9758,12468,10296,14362,11261,14633,1242449,1243159,+,chr,BSU11650,tenA,thiaminase II,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15709744, 15858269, 16356850, 17618314, 18054064; Product type e: enzyme"
BSU11660_tenI,14892,12186,11798,11597,9794,10877,10215,13079,10647,13104,1243134,1243751,+,chr,BSU11660,tenI,transcriptional regulator TenI,regulates the production of extracellular enzymes
BSU11670_thiO,24237,21024,17945,18824,15355,18368,16160,19952,16216,20721,1243735,1244844,+,chr,BSU11670,thiO,FAD-dependent glycine oxidase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 12627963, 15105420, 9827558; Product type e: enzyme"
BSU11680_thiS,5097,8728,4144,7537,3230,7083,3441,8879,6761,8503,1244844,1245044,+,chr,BSU11680,thiS,Sulfur carrier for synthesis of hydroxyethylthiazole phosphate,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 10939241, 14567704, 14757766, 15489164; Product type c: carrier"
BSU11690_thiG,15739,13940,13316,11984,10758,11664,11232,12750,10511,12778,1245041,1245811,+,chr,BSU11690,thiG,thiazole synthase,functions in thiamine (vitamin B1) biosynthesis; in Bacillus subtilis this enzyme catalyzes the formation of thiazole from dehydroxyglycine and 1-deoxy-D-xylulose-5-phosphate and ThiS-thiocarboxylate
BSU11700_thiF,23454,18154,19174,16007,15419,15208,16590,16827,14040,16458,1245808,1246818,+,chr,BSU11700,thiF,thiamine/molybdopterin biosynthesis ThiF/MoeB-like protein,catalyzes the formation of a high-energy acyladenylate intermediate and subsequently to the formation of a thiocarboxylate at the C termini of MoaD or ThiS in the molybdopterin or thiamin pyrophosphate biosynthesis pathways
BSU11710_yjbV,22288,16883,18747,14193,15555,14609,16810,16911,14453,15604,1246837,1247652,+,chr,BSU11710,yjbV,phosphomethylpyrimidine kinase,catalyzes the formation of 4-amino-2-methyl-5-diphosphomethylpyrimidine
BSU11720_fabI,6930,5928,4112,3807,4795,4730,4135,4366,4897,4423,1247788,1248564,+,chr,BSU11720,fabI,enoyl-ACP reductase,Catalyzes a key regulatory step in fatty acid biosynthesis
BSU11730_cotO,50,51,39,30,49,51,41,85,59,52,1248665,1249348,+,chr,BSU11730,cotO,spore outer coat protein,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 16321932; Product type cp: cell process
BSU11740_cotZ,8,7,4,0,8,8,8,3,2,9,1249442,1249888,-,chr,BSU11740,cotZ,spore coat protein,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 7519271, 8509331; Product type cp: cell process"
BSU11750_cotY,29,21,14,14,21,16,15,30,29,26,1250016,1250504,-,chr,BSU11750,cotY,outer spore coat protein,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 14766913, 7519271, 8509331; Product type cp: cell process"
BSU11760_cotX,64,11,13,11,12,24,9,15,13,18,1250656,1251174,-,chr,BSU11760,cotX,spore coat protein,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10400595, 10788508, 12031481, 7519271, 8509331; Product type cp: cell process"
BSU11770_cotW,25,3,2,8,11,10,6,6,6,10,1251273,1251590,-,chr,BSU11770,cotW,spore coat protein,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 8509331; Product type cp: cell process
BSU11780_cotV,38,6,5,5,5,3,5,6,18,6,1251631,1252017,-,chr,BSU11780,cotV,spore coat protein,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 7519271, 8509331; Product type cp: cell process"
BSU11790_yjcA,8,8,5,7,13,8,2,12,9,3,1252177,1252533,+,chr,BSU11790,yjcA,sporulation-specific protein,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 14523132, 15849754, 16850406; Product type cp: cell process"
BSU11799_yjzK,2,2,2,3,2,8,0,5,4,7,1252815,1253021,+,chr,BSU11799,yjzK,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
BSU11809_yjcZ,6,0,1,0,2,0,2,1,0,1,1253103,1253252,+,chr,BSU11809,yjcZ,hypothetical protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 14523132; Product type h : extrachromosomal origin"
BSU11810_spoVIF,6,5,5,4,5,7,1,3,9,6,1253385,1253639,+,chr,BSU11810,spoVIF,sporulation-specific protein needed for heat resistance,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 14523132, 14702409; Product type cp: cell process"
BSU11820_yjcD,1214,1055,960,901,1078,1032,870,1136,1045,1153,1253713,1255866,-,chr,BSU11820,yjcD,ATP-dependent DNA helicase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 11544244; Product type pe :  enzyme"
BSU11839_yjzE,44,28,75,28,39,42,51,34,31,61,1256109,1256363,+,chr,BSU11839,yjzE,hypothetical protein,Evidence 5: No homology to any previously reported sequences; PubMedId: 11976315
BSU11840_yjcF,669,1015,1449,2152,926,2036,1067,2595,1760,1768,1256436,1256858,-,chr,BSU11840,yjcF,acetyltransferase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
BSU11850_yjcG,1624,1531,3199,3104,2166,2640,2445,3659,2209,2593,1256862,1257377,-,chr,BSU11850,yjcG,hypothetical protein,similar to 2'-5' RNA ligase
BSU11860_yjcH,1683,1608,3699,3338,2481,2897,2876,3819,2382,2669,1257414,1258136,-,chr,BSU11860,yjcH,hydrolase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
BSU11870_yjcI,650,787,2753,2811,1589,2111,2150,2793,1689,1785,1258492,1259613,+,chr,BSU11870,yjcI,cystathionine gamma-synthase,catalyzes the formation of cysteine from cystathionine; in B. subtilis also has O-acetylhomoserine thiolyase activity
BSU11880_yjcJ,719,512,3132,2201,1907,1567,2568,2214,1386,1276,1259606,1260778,+,chr,BSU11880,yjcJ,cystathionine beta-lyase,catalyzes the formation of L-homocysteine from cystathionine
BSU11890_yjcK,165,196,872,1047,336,401,529,813,221,283,1260811,1261356,-,chr,BSU11890,yjcK,ribosomal-protein-alanine N-acetyltransferase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 2828880; Product type pe :  enzyme"
BSU11900_yjcL,111,79,1963,1304,660,395,1082,945,227,231,1261426,1262616,-,chr,BSU11900,yjcL,hypothetical protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pm: membrane component"
BSU11910_yjcM,1158,3300,709,2778,923,3366,777,2902,2670,2698,1263702,1264931,-,chr,BSU11910,yjcM,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
BSU11920_yjcN,852,1810,632,1486,606,1763,565,1849,1771,1666,1265057,1265377,+,chr,BSU11920,yjcN,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
BSU11928_yjzF,11,15,9,23,9,15,5,15,19,22,1265530,1265661,+,chr,BSU11928,yjzF,hypothetical protein,Evidence 5: No homology to any previously reported sequences
BSU11929_yjzG,19,37,14,20,11,23,14,32,48,37,1265677,1265850,+,chr,BSU11929,yjzG,hypothetical protein,Evidence 5: No homology to any previously reported sequences
BSU11930_yjcO,48,63,41,45,29,38,33,53,65,60,1265887,1266348,+,chr,BSU11930,yjcO,DNA binding protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pr:  regulator"
BSU11940_yjcP,61,244,53,259,42,241,49,229,200,211,1266614,1267117,+,chr,BSU11940,yjcP,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function; PubMedId: 15033535
BSU11950_yjcQ,43,70,36,77,31,90,35,89,77,66,1267129,1267413,+,chr,BSU11950,yjcQ,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function; PubMedId: 15033535
BSU11960_yjcR,11,4,11,10,16,1,8,3,10,11,1267574,1268101,+,chr,BSU11960,yjcR,phage-related nucleic acid binding terminase small subunit,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 7489895, 7704261; Product type pe: enzyme"
BSU11970_yjcS,277,662,221,455,179,537,178,611,492,557,1268275,1268592,+,chr,BSU11970,yjcS,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
BSU11980_yjdA,469,641,376,615,334,574,298,684,573,622,1268829,1269584,+,chr,BSU11980,yjdA,3-ketoacyl-ACP reductase,catalyzes the first of the two reduction steps in the elongation cycle of fatty acid synthesis
BSU11990_yjdB,22,31,12,36,21,52,15,39,32,29,1269733,1270080,-,chr,BSU11990,yjdB,hypothetical protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type h: extrachromosomal origin"
BSU12000_manR,194,277,156,175,134,266,103,247,236,257,1270631,1272577,+,chr,BSU12000,manR,transcriptional antiterminator,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 10438772, 10960106; Product type r : regulator"
BSU12010_manP,64,72,44,31,42,31,25,52,55,55,1272725,1274677,+,chr,BSU12010,manP,phosphotransferase system (PTS) mannose-specific enzyme IIBCA component,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10627040, 10960106; Product type t: transporter"
BSU12020_manA,29,44,16,10,20,19,16,34,12,23,1274692,1275639,+,chr,BSU12020,manA,mannose-6-phosphate isomerase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10960106, 7934877; Product type e: enzyme"
BSU12030_yjdF,646,733,505,650,480,665,444,779,665,728,1275809,1276291,+,chr,BSU12030,yjdF,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
BSU12040_yjdG,425,961,271,1080,235,1007,267,985,738,792,1276337,1276843,-,chr,BSU12040,yjdG,acetyltransferase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
BSU12050_yjdH,38,26,31,30,34,49,18,34,31,28,1277062,1277457,-,chr,BSU12050,yjdH,hypothetical protein,Evidence 5: No homology to any previously reported sequences
BSU12060_yjdI,275,391,276,420,201,321,197,476,370,368,1277686,1278165,+,chr,BSU12060,yjdI,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
BSU12069_yjzH,198,502,140,364,124,481,127,552,457,505,1278205,1278399,-,chr,BSU12069,yjzH,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
BSU12070_yjdJ,132,232,98,209,91,209,101,201,162,197,1278565,1278894,-,chr,BSU12070,yjdJ,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
BSU12080_ctaO,199,122,126,126,133,99,144,127,104,127,1279514,1280503,-,chr,BSU12080,ctaO,protoheme IX farnesyltransferase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10675592, 15491161, 15849754, 16850406; Product type e: enzyme"
BSU12090_cotT,12,11,5,6,6,13,6,5,2,7,1280626,1280949,-,chr,BSU12090,cotT,spore coat protein,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 1391045, 1917883; Product type cp: cell process"
BSU12100_yjeA,1372,2722,983,1406,942,2461,1052,2987,2129,3204,1281128,1282531,+,chr,BSU12100,yjeA,secreted deoxyriboendonuclease,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 14679227, 17878218; Product type e: enzyme"
BSU12110_yjfA,27,3,18,10,13,10,25,17,3,9,1282571,1283044,-,chr,BSU12110,yjfA,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
BSU12120_yjfB,7,1,4,5,0,0,4,4,2,3,1283169,1283336,-,chr,BSU12120,yjfB,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function; PubMedId: 15033535
BSU12130_yjfC,55,20,50,28,34,42,41,45,32,43,1283463,1284362,+,chr,BSU12130,yjfC,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
BSU12140_yjgA,200,132,203,129,178,141,193,159,155,122,1284371,1284769,-,chr,BSU12140,yjgA,hypothetical protein,"Evidence 4: Homologs of previously reported genes of unknown function; PubMedId: 15849754, 16850406"
BSU12150_yjgB,5,1,4,3,15,1,9,8,5,10,1284870,1285445,-,chr,BSU12150,yjgB,hypothetical protein,Evidence 5: No homology to any previously reported sequences; PubMedId: 1580552
BSU12160_yjgC,86,62,153,39,99,81,121,74,57,146,1285591,1288548,+,chr,BSU12160,yjgC,oxidoreductase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
BSU12170_yjgD,16,18,35,28,21,21,19,25,16,47,1288541,1289101,+,chr,BSU12170,yjgD,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
BSU12180_yjhA,1325,2279,695,2049,710,2278,580,2422,2268,3546,1289298,1289939,+,chr,BSU12180,yjhA,lipoprotein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type lp: lipoprotein"
BSU12190_yjhB,387,380,265,282,244,340,196,544,320,440,1290018,1290644,+,chr,BSU12190,yjhB,ADP-ribose pyrophosphatase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 12483591, 16513759; Product type pe: enzyme"
BSU12200_yjiA,49,44,54,45,51,59,49,83,66,64,1290675,1290953,-,chr,BSU12200,yjiA,hypothetical protein,Evidence 5: No homology to any previously reported sequences
BSU12210_yjiB,153,226,188,199,151,176,178,231,160,194,1291344,1292534,+,chr,BSU12210,yjiB,monooxygenase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
BSU12220_yjiC,229,244,236,254,196,244,210,309,251,233,1292557,1293735,+,chr,BSU12220,yjiC,glycosyltransferase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
BSU12229_yjzI,103,71,92,72,85,86,69,91,85,69,1293776,1293964,-,chr,BSU12229,yjzI,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
BSU12230_hemD,966,848,948,955,695,905,755,1136,828,1045,1294138,1294950,+,chr,BSU12230,hemD,uroporphyrinogen-III synthase,catalyzes the formation of uroporphyrinogen-III from hydroxymethylbilane; functions in tetrapyrrole and heme biosynthesis
BSU12240_yjkA,344,185,304,169,259,223,255,207,175,214,1294996,1295748,-,chr,BSU12240,yjkA,ABC transporter permease,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pt: transporter"
BSU12250_yjkB,368,313,327,267,314,300,331,340,313,309,1295748,1296500,-,chr,BSU12250,yjkB,phosphate ABC transporter ATP-binding protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pt:  transporter"
BSU12260_yjlA,851,568,877,645,705,619,789,698,543,566,1296620,1297594,-,chr,BSU12260,yjlA,permease,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pt: transporter"
BSU12270_yjlB,76,79,73,78,77,67,64,161,96,122,1297726,1298223,+,chr,BSU12270,yjlB,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function; PubMedId: 10704478
BSU12280_rex,10344,13591,7675,10666,8105,13913,7380,13925,13060,13867,1298612,1299034,+,chr,BSU12280,rex,transcriptional repressor of the rex ndh operon,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 17015645; Product type r: regulator
BSU12290_ndh,25258,22421,19781,18228,20672,24133,18285,23396,22426,22702,1299074,1300252,+,chr,BSU12290,ndh,NADH dehydrogenase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 17015645, 6816592; Product type e: enzyme"
BSU12300_uxaC,18,36,8,15,13,15,11,20,16,26,1300450,1301871,+,chr,BSU12300,uxaC,glucuronate isomerase,catalyzes the interconversion of D-glucuronate to D-fructuronate or D-galacturonate to D-tagaturonate; functions in glucuronic and galacturonic metabolism
BSU12310_exuM,43,31,65,69,34,43,51,63,37,44,1301939,1303318,+,chr,BSU12310,exuM,Na+:altronate/mannonate symporter,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406, 9882655; Product type t: transporter"
BSU12320_yjmC,5,1,13,7,11,5,16,5,4,4,1303423,1304436,+,chr,BSU12320,yjmC,oxidoreductase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 16788182, 9579062, 9882655; Product type pe:  enzyme"
BSU12330_yjmD,14,13,15,11,24,27,9,20,6,16,1304442,1305461,+,chr,BSU12330,yjmD,oxidoreductase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 9579062, 9882655; Product type pe: enzyme"
BSU12340_uxuA,43,24,46,32,34,24,44,24,17,23,1305486,1306565,+,chr,BSU12340,uxuA,mannonate dehydratase,catalyzes the formation of 2-dehydro-3-deoxy-D-gluconate from mannonate
BSU12350_yjmF,22,8,24,9,22,16,24,10,8,17,1306562,1307398,+,chr,BSU12350,yjmF,D-mannonate oxidoreductase,Converts D-mannonate to D-mannuronate
BSU12360_exuT,41,19,51,31,38,14,39,45,27,23,1307446,1308714,+,chr,BSU12360,exuT,hexuronate transporter,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 15849754, 16850406, 8320243, 9579062, 9882655; Product type t: transporter"
BSU12370_exuR,594,601,614,589,453,519,481,655,462,502,1308802,1309803,+,chr,BSU12370,exuR,LacI family transcriptional regulator,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 9579062, 9882655; Product type r: regulator"
BSU12380_uxaB,51,50,61,45,53,44,56,47,38,61,1309880,1311322,+,chr,BSU12380,uxaB,altronate oxidoreductase,catalyzes the formation of D-tagaturonate from D-altronate
BSU12390_uxaA,63,34,151,70,89,59,106,94,70,83,1311319,1312812,+,chr,BSU12390,uxaA,altronate hydrolase,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 9579062, 9882655; Product type e: enzyme"
BSU12400_yjnA,50,37,358,183,119,133,321,222,81,96,1312851,1313615,-,chr,BSU12400,yjnA,hypothetical protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pm: membrane component"
BSU12410_yjoA,1292,1423,919,1120,1070,1534,1055,1710,1652,1596,1313840,1314304,-,chr,BSU12410,yjoA,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
BSU12420_yjoB,2095,2687,1111,1542,1291,2220,990,1914,2016,2339,1314453,1315724,+,chr,BSU12420,yjoB,ATPase possibly involved in protein degradation,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 14757246; Product type e: enzyme
BSU12430_rapA,949,1038,2498,4794,1532,2906,2005,4851,1929,2689,1315869,1317005,+,chr,BSU12430,rapA,response regulator aspartate phosphatase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11587784, 15805512, 15916600; Product type e: enzyme"
BSU12440_phrA,19,4,61,21,50,19,47,31,17,19,1316995,1317129,+,chr,BSU12440,phrA,secreted inhibitor of the activity of phosphatase RapA,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10629174, 11587784, 16816200; Product type f: factor"
BSU12450_yjpA,97,84,71,78,63,103,70,120,104,115,1317157,1317414,-,chr,BSU12450,yjpA,hypothetical protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15779043; Product type pe :  enzyme"
